city,merchant_id,merchant_name,item_id,product_name,live_days,c/d
Bengaluru,25813,Super Store - Domlur,10050672,Parle Fab Jam-In Orange Biscuit,4,1
Bengaluru,26015,Super Store - HSR Layout,10050672,Parle Fab Jam-In Orange Biscuit,4,0.5
Bengaluru,28792,Super Store - HBR Layout,10036846,"Prestige Omega Deluxe 36305 Granite Finish Aluminium Induction Base 1.7 lt Fry Pan (24 cm, Grey & Black)",7,0
Mumbai,26219,Super Store - Chembur,10036846,"Prestige Omega Deluxe 36305 Granite Finish Aluminium Induction Base 1.7 lt Fry Pan (24 cm, Grey & Black)",6,0.16667
HR-NCR,28733,Super Store - Cyber City,10005271,Cremica Tomato Ketchup (Bottle),7,3.14286
HR-NCR,28733,Super Store - Cyber City,10033691,Enfagrow A+ Chocolate Stage 4 Baby Milk Powder (24 months+),7,0
UP-NCR,26510,Super Store - Indirapuram,10033691,Enfagrow A+ Chocolate Stage 4 Baby Milk Powder (24 months+),7,0.14286
UP-NCR,28728,Super Store - Rajendra Nagar,10051724,"Fidato Solid Jacket (Red, L) - FDMJ01c",7,0
Mumbai,26359,Super Store - Palava City,10046011,Family Farm Gola/Gota White Urad Dal,7,0.42857
